pre,post,weight
IL2R,RMDR,1
IL2R,IL1R,2
IL2R,RIBR,14
IL2R,RICL,3
IL2R,SMBVR,3
IL2R,RICL,3
IL2R,RIH,29
IL2R,IL1VR,1
IL2R,RMEL,1
IL2R,OLLR,2
IL2R,OLQVR,9
IL2R,RICR,3
ALMR,BDUR,13
ALMR,CEPVR,4
ALMR,AVBL,7
ALMR,NRDRfrag,2
ALMR,PVCR,7
ALMR,PVN_,16
ALMR,###,1
ALMR,CEPDR,18
contin2734,RVGCB17,4
contin2734,RVGCB13,3
contin2734,AVAR,15
contin2734,contin9216,1
contin2734,RVGCB7,4
contin2734,AVAL,8
contin2734,VCCB2,4
contin2734,contin1228,8
contin2734,AVBR,1
CEMDR,CEMDR,4
CEMDR,NRVfrag9,1
CEMDR,AVAR,4
CEMDR,URYDR,6
CEMDR,RIGR,13
CEMDR,labR,3
CEMDR,mus-DR,9
CEMDR,NRDfragAIB/AVB,5
CEMDR,NRRD,4
CEMDR,AVBR,4
CEMDR,AIBL,1
CEMDR,CEPDR,7
ASGL,AIAL?,10
ASGL,ASEL,1
ASGL,VC16,17
ASGL,AIZL,3
ASGL,AIML,5
ASGL,RICL,4
ASGL,AIAL,65
ASGL,vc-963,3
URXR,RIAR,7
URXR,AUAR,6
URXR,IL1R,2
URXR,AVAR,1
URXR,RIGR,16
URXR,RICL,1
URXR,IL2R,1
URXR,RICL,1
URXR,AVER,18
URXR,RMGR,1
URXR,NRRfrag,1
URYVL,RID,1
URYVL,NR21,1
CEPshVR,RMDDR,1
CEPshVR,AVEL,1
ira,vc-975,5
ira,ezra,2
ira,RVGCB8,2
NRDLfrag,NRDLfrag,1
NRDLfrag,AVEL,6
NRDLfrag,NRL,8
NRDLfrag,AVBL,1
NRDLfrag,SMDDR,18
NRDLfrag,AVER,7
vc-816,yi-24,1
vc-816,yi-7,3
vc-816,UNK,4
EF2,MCMR,13
EF2,EF3,13
EF2,CEMVR,1
EF2,AVFR,1
EF2,PVQR,19
EF2,RIFR,13
EF2,CEPshVR,2
EF2,EF1,2
VC575,RVGCB21,3
PVC_,b,6
PVC_,yi-28,2
PVC_,AVAR,2
PVC_,merv,6
PVC_,yi-49,4
PVC_,AVAR,2
ADAL,AVL,2
ADAL,hyp,1
ADAL,hyp,1
c,yi-37,2
c,AVKL,2
MCML,ABL-15,3
MCML,AVFL,2
MCML,AVBL,15
MCML,BDUL,3
MCML,SIAVL,2
MCML,ALML,3
MCML,AQR,1
MCML,CEMVL,2
MCML,SMBVL,3
MCML,AVHL,2
MCML,RIML,7
MCML,RICL,3
MCML,contin10626,2
MCML,ADAL,3
MCML,VGfrag,3
MCML,PVPL,1
MCML,RIML,7
MCML,PVCL,2
MCML,ABLP-17,3
MCML,RID,3
MCML,AVDR,4
vc-left-24,AVBL,3
vc-left-24,AIYL,3
vc-left-24,SIBDL,3
SIAVR,AVKR,1
vc-2499,mus-VR,4
vc-2499,mus,5
vc-2499,contin3374,2
vc-2499,RVGCB40,2
vc-2499,mus,5
vc-2499,DA1,2
vc-2499,vc-975,5
vc-2499,vc-980,2
IL1DL,RMDVL,23
IL1DL,mus-L,10
IL1DL,mus-DL,7
IL1DL,RIPL,11
yi-38,AVM,1
yi-38,yi-37,4
yi-38,AVKL,2
AVHR,VGRPVCL,3
AVHR,ASHR,2
AVHR,RIR,1
AVHR,ADFR,3
AVHR,PVPR,1
AVHR,AUAR,1
AVHR,SMBVR,9
AVHR,ADLR,3
AVHR,AWBR,3
AVHR,AIAR,2
RIVL,RIAR,5
RIVL,SDQR,1
RIVL,RMDDR,3
RIVL,NR54,13
RIVL,SAADR,21
RIVL,musVC,11
RIVL,RMDVL,4
RIVL,SMDDR,8
RIVL,mus-V,32
RIVL,SIAVR,19
RIVL,RIVR,13
RIVL,RIAL,6
IL1R,RMHL,5
IL1R,mus-VR,63
IL1R,RMDDR,26
IL1R,RIBR,10
IL1R,RIBR,10
IL1R,RMDVR,31
IL1R,mus-DR,2
IL1R,RMDVL,2
IL1R,RMDDL,1
IL1R,RMHL,5
IL1R,NRRfrag,1
DVA,RIR,31
DVA,RVGcom3,1
DVA,AQR,5
DVA,DVA,2
DVA,SMBDR,5
DVA,vc-right-22,4
DVA,AVHL,2
DVA,AVEL,39
DVA,VGfrag6,8
DVA,AVAR,2
DVA,NR77,4
DVA,AVER,16
DVA,RIMR,4
DVA,AVDR,1
DVA,ADEL,1
DVA,AUAR,2
DVA,AIZR,6
DVA,RIAR,4
DVA,NRL,2
DVA,SMBVL,1
DVA,SMBVR,5
DVA,VGLfrag,1
DVA,NRR,6
DVA,RIAL,1
ASEL,ASKL,4
ASEL,NR32,7
ASEL,AWCL,17
ASEL,AIYL,10
ASEL,AIBL,5
ASEL,RIBL,1
IL1L,RMDR,3
IL1L,mus-VL,8
IL1L,NRmotor,6
IL1L,mus-L,13
IL1L,RMDVL,12
IL1L,mus-NRL,29
IL1L,RMDL,14
IL1L,RMDDL,11
IL1L,NRfrag,3
IL1L,RMHR,6
RIVR,AIBR,9
RIVR,GLRVR,7
RIVR,RIAR,2
RIVR,mus-VR,7
RIVR,SIAVL,12
RIVR,NRmotor,4
RIVR,RMDVR,8
RIVR,SMDVR,6
RIVR,RMFL,3
RIVR,RIML,9
RIVR,musVC,1
RIVR,SAADL,18
RIVR,RIS,3
RIVR,RIVR,1
RIVR,RMDDL,3
RIVR,RIML,9
RIVR,RIAL,10
RIVR,GLRVL,18
RIVR,mus-V,8
PVT,RIGL,3
PVT,DVC,3
PVT,AIBR,3
PVT,NRVfrag9,8
PVT,AVKR,2
PVT,AVEL,2
PVT,SAADR,2
PVT,RIBR,2
PVT,NRVfrag^,3
PVT,AVKL,3
PVT,AVL,2
PVT,RMFR,7
PVT,RIGR,19
PVT,CEMVR,3
PVT,AIBL,8
IL1DR,RIPR,16
IL1DR,IL1R,1
IL1DR,RMDVR,18
IL1DR,NRfrag,1
IL1DR,mus-DR,19
Excretory Gland,RICR,2
Excretory Gland,SAADL,1
Excretory Gland,RMDDR,2
Excretory Gland,RIVR,1
ADLL,CEPDL,1
ADLL,AVDR,13
ADLL,ASKL,1
ADLL,PVQL,1
ADLL,AVFL,1
ADLL,SMBVL,1
ADLL,AVHL,1
ADLL,AVJL,9
ADLL,ASHL,4
ADLL,ASGL,8
ADLL,PVPL,1
ADLL,AIBL,15
RMFR,URYDR,2
RMFR,RIGR,4
RMFR,SIBVR,6
DVA,RIR,14
DVA,RVGcom3,1
DVA,AVAR,2
DVA,SMBVL,1
DVA,ADEL,1
DVA,AVHL,2
DVA,VGLfrag,1
DVA,AVER,14
DVA,RIAL,1
vc-right-40,PVR,1
vc-right-40,PVN_,1
ABL-??,AINR,4
URAVL,mus-VL,33
URAVL,RIPL,32
URAVL,RMEL,1
URAVL,RMEV,1
URAVL,IL1VL,1
AVG,hyp,2
AVG,branchy,5
mus-DL,mus-DL,2
mus-DL,RIPL,2
CPn,y-1,2
CPn,DDn,3
NRfrag,PLNR,1
NRfrag,RMHL,2
NRfrag,RIMR,1
NRfrag,ASKR,1
NRfrag,RMFR,2
NRfrag,RICR,2
NRfrag,URXR,7
NRfrag,RMDVR,4
NRfrag,RMHR,3
NRfrag,mus-VL,5
NRfrag,RICL,5
NRfrag,SMBDL,2
NRfrag,RICL,5
NRfrag,NRfraggg,6
NRfrag,NRR,6
NRfrag,AIZR,6
NRfrag,RMHL,2
NRfrag,AVBR,3
NRfrag,ABRP-4,2
NRfrag,PVQR,7
URAVR,RIPR,14
URAVR,RMER,11
URAVR,mus-VR,20
URAVR,mus-V,12
VA/Bnn,yi-28,2
VA/Bnn,DDn,9
VA/Bnn,mus,6
VA/Bn,p,8
VA/Bn,DDn,8
VA/Bn,mus,6
VA/Bn,VDn,3
BAGL,RIAR,36
BAGL,AIYR,1
BAGL,RIBR,19
BAGL,AIBR,1
BAGL,RIGR,14
BAGL,RMFR,5
BAGL,AFDR,1
BAGL,ASER,1
BAGL,NRRfrag,4
AIZL,RIML,13
AIZL,RIAR,5
AIZL,DVA,1
AIZL,DVA,1
AIZL,SMBVL,28
AIZL,AVKR,1
AIZL,ADFL,4
AIZL,SMBDL,33
AIZL,AIAL,9
AIZL,RIH,1
AIZL,SMBVR,2
AIZL,AVER,14
AIZL,RIML,13
AIZL,RIAL,41
AIZL,AIBR,25
AIZL,AWAL,9
URADL,mus-L,2
URADL,mus-DL,13
URADL,RIPL,15
RMDVR,NRL,1
RMDVR,OLQVL,3
RMDVR,SMBVL,1
RMDVR,mus-NRL,7
RMDVR,IL1VL,3
RMDVR,RMDDL,68
RMDVR,mus-VL,62
RMDVR,mus-V,4
RMDVL,RMHL,1
RMDVL,mus-VR,29
RMDVL,RMDDR,66
RMDVL,RIPR,1
RMDVL,mus-V,42
RMDVL,RMHL,1
URADR,RIPR,15
URADR,RMER,9
URADR,mus-DR,19
URADR,mus-D,9
contin24,contin1,8
contin24,contin30,3
AWAR,AIYR,3
AWAR,ADFR,13
AWAR,AFDR,7
AWAR,AIZR,82
AWAR,ADLR,3
AWAR,AWBR,4
yi-16,yi-35,2
yi-16,yi-34,2
yi-10,yi-9,1
yi-10,yi-11,1
yi-10,yi-34,1
yi-12,y-1,1
yi-12,yi-10,1
VGfrag4,RIAR,16
VGfrag4,SMBDR,7
VGfrag4,vc-right-31,2
VGfrag4,ADFR,4
VGfrag4,SMBVR,2
VGfrag4,vc-6105,2
VGfrag4,RIFR,3
VGfrag4,AVBR,2
VGfrag6,DVC,3
VGfrag6,DVA,3
VGfrag6,vc-right-30,3
yi-19,yi-4,1
yi-19,VDn,1
yi-19,DDn,10
yi-19,mus,5
yi-19,yi-23,5
VGfrag1,ASGR,1
VGfrag1,vc-6072,4
VGfrag1,vc-6067,2
VGfrag1,AIAR,32
VGfrag3,AIYR,6
VGfrag3,VGfrag2,6
PVPR,MCMR,2
PVPR,AQR,2
PVPR,RIGR,2
PVPR,AVBL,4
PVPR,SMBVR,1
PVPR,RIFR,2
PVPR,ADLR,1
PVPR,AVBR,4
PVPR,AIBL,2
AWAL,AWBL,6
AWAL,AFDL,15
AWAL,ASEL,5
AWAL,AIZL,46
AWAL,NR32,6
AWAL,AUAL,2
AWAL,ADFL,9
AWAL,RIBL,3
AWAL,AIYL,12
AWAL,ASIL,2
RVGCB20,hyp,1
RVGCB20,hyp,1
RVGCB20,vc-2413,2
RVGCB20,vc-2506,4
RVGCB20,mus-D,2
RVGCB29,VCCB2,2
RVGCB29,RVGCB40,2
RVGCB29,AVAR,1
IL1VR,mus-VR,25
IL1VR,RMDDR,44
IL1VR,RMER,1
IL1VR,IL2VR,1
IL1VR,SMDVL,2
IL1VR,RIPR,28
IL1VR,mus-V,28
VGfrag,BDUL,2
VGfrag,MCML,1
VGfrag,ALML,2
VGfrag,AVBL,2
VGfrag,contin10626,2
VGfrag,AVJL,2
VGfrag,PVCL,3
ASGR,AIBR,8
ASGR,AIMR,1
ASGR,VGfrag1,6
ASGR,VGfrag2,7
ASGR,AIAR,60
neuron5,ASER,4
neuron5,AIYR,11
neuron5,AWCR,4
neuron5,NR102,1
IL1VL,AIBR,3
IL1VL,OLQVL,3
IL1VL,RIPL,44
IL1VL,RIGL,3
IL1VL,RMDDL,75
IL1VL,mus-VL,63
IL1VL,RIAL,3
AIMR,AIBR,33
AIMR,ASKR,7
AIMR,ASJR,1
AIMR,URXR,1
AIMR,ASGR,4
AIMR,NRRfrag,1
AIMR,AIAR,38
SIAVL,RIVR,1
PLNR,SAADR,20
PLNR,SMBVR,9
PLNR,RMGR,5
PLNR,VGfrag40,3
PLNR,SMDDR,1
PLNR,NRRfrag,1
CEPVR,RICR,22
CEPVR,AWCR,1
CEPVR,RIPR,3
CEPVR,OLQVR,29
CEPVR,OLLR,24
CEPVR,PVR,5
CEPVR,RMHL,8
CEPVR,AVEL,18
CEPVR,RIBR,2
CEPVR,AVER,7
CEPVR,RMHR,5
CEPVR,URXR,7
CEPVR,MCMR,1
CEPVR,RMDDR,15
CEPVR,IL1VR,11
CEPVR,IL2VR,4
CEPVR,CEMVR,1
CEPVR,RMHL,8
CEPVR,RICL,20
CEPVR,URAVR,15
CEPVR,SMDVL,2
CEPVR,RICL,20
CEPVR,SMDDR,7
CEPVR,SIAVR,10
AWCL,AIAL?,4
AWCL,ASEL,4
AWCL,ASKL,2
AWCL,NR32,10
AWCL,AIYL,5
AWCL,AIBL,3
AWCL,AIAL,12
ADLR,AIBR,49
ADLR,VGRPVCL,9
ADLR,ASHR,10
ADLR,AVFR,2
ADLR,ASER,4
ADLR,ASGR,1
ADLR,SMBVR,8
ADLR,NRR,6
ADLR,NR,2
ADLR,NRRfrag,1
ADLR,AIAR,22
AUAL,AVEL,5
AUAL,NRL,3
AUAL,ABLP-29,1
AUAL,AINR,7
AUAL,ADFL,7
AUAL,AVAL,6
AUAL,uncle,2
AUAL,RIBL,17
AUAL,NRDfrag,5
AUAL,RIAL,42
CEPDL,IL1DL,10
CEPDL,RMHL,12
CEPDL,URXL,3
CEPDL,AVEL,8
CEPDL,NRmotor,7
CEPDL,RMGL,1
CEPDL,AVAR,1
CEPDL,SMBDR,5
CEPDL,SMDDL,1
CEPDL,SIADR,8
CEPDL,IL1L,4
CEPDL,RMHR,7
CEPDL,NRLfrag,8
CEPDL,RICR,10
CEPDL,OLQDL,21
riker,mus-D,1
MCMR,VC25,2
MCMR,vc-3152,1
MCMR,MCMR,3
MCMR,RMDDR,2
MCMR,CEPVR,1
MCMR,PVN_,3
MCMR,AQR,2
MCMR,NRRD,2
MCMR,AVBL,2
MCMR,CEMVR,6
MCMR,RIPR,6
MCMR,ABRP-16,2
MCMR,PVN_2,4
MCMR,RIFR,23
MCMR,EF3,3
MCMR,AVBR,41
MCMR,VGRPVCL,7
SAAVL,RIML,1
SAAVL,RMFR,10
SAAVL,AVAL,65
SAAVL,SMDDR,26
SAAVL,RIMR,46
SAAVR,RIMR,5
SAAVR,AVAR,65
SAAVR,RMFL,6
SAAVR,SMDVR,1
SAAVR,RIML,27
SAAVR,RIML,27
SAAVR,SMDDL,17
AUAR,RIAR,39
AUAR,RIBR,23
AUAR,URXR,1
AUAR,BAGL,3
AUAR,ADFR,11
CEPDR,OLQDR,16
CEPDR,RMHL,6
CEPDR,AVEL,3
CEPDR,RIBR,2
CEPDR,RICR,13
CEPDR,RIBR,2
CEPDR,RIPR,5
CEPDR,RICL,19
CEPDR,RICL,19
CEPDR,URADR,5
CEPDR,SIAVR,7
CEPDR,NRfrag,7
CEPDR,RMHL,6
CEPDR,ABRP-4,8
CEPDR,IL1DR,16
AFDL,NR115,1
AFDL,NRLfrag,1
AFDL,AIYL,55
AFDL,CEPshVL,2
AFDL,NR32,3
contin6779,Excretory Gland,3
contin6779,AVAL,8
contin6779,RVGCB10,5
ABR-4,ABR-6,1
ABR-4,SMDVR,1
SMDDL,RIAR,8
SMDDL,AVEL,1
SMDDL,mus-D,4
SMDDL,SMDVL,2
SMDDL,SAAVR,4
SMDDL,SMBDL,4
SMDDL,NRD,3
SMDDL,RIAL,4
SMDDR,RIAR,9
SMDDR,RIBL,20
SMDDR,mus-D,21
SMDDR,RMDR,1
SMDDR,mus-DL,5
SMDDR,mus-DL,5
SMDDR,RIBL,20
SMDDR,NRfrag,1
SMDDR,RIAL,13
vc-963,contin10626,2
vc-963,AVHL,2
contin7197,mus-VR,2
vc-966,RVGCB7,2
vc-966,RVGCB17,2
vc-966,vc-2506,1
vc-966,vc-988,1
vc-966,mus-D,2
SMDVR,RIAR,36
SMDVR,RMED,14
SMDVR,SMDDL,22
SMDVR,mus-V,21
SMDVR,RIVR,1
SMDVR,RMDDL,1
SMDVR,RIAL,37
SMDVR,NRV,4
EF3,PVPR,11
EF3,MCMR,23
EF3,VC33,1
EF3,RIBR,1
EF3,CEMVR,3
EF3,AVFR,7
EF3,SMBVR,1
EF3,RIFR,17
EF3,AVBR,29
vc-986,AVAL,2
vc-986,contin9984,2
vc-981,RVGCB29,2
vc-981,contin9321,2
vc-981,AVAL,5
vc-981,RVGCB8,3
vc-981,UNK,5
vc-981,RVGCB29,2
vc-980,contin1015,3
vc-980,RVGCB40,2
vc-980,mus-VR,10
vc-980,vc-979,4
vc-980,vc-2434,2
vc-988,riker,2
vc-988,null,1
vc-988,picard,8
vc-988,vc-1000,1
vc-988,hyp,7
vc-988,RIFR,1
vc-988,contin10517,1
vc-988,contin10532,4
yi-56,zeb,3
yi-56,AVAR,4
yi-56,AVAR,4
yi-56,branchy,1
yi-56,yi-34,3
contin2629,contin2629,3
contin2629,AVAL,11
contin2629,UNK,1
contin2629,AVAR,20
contin8165,vc-975,1
contin8165,RICL,1
contin8165,RICL,1
CEPshVR,RMDDR,1
CEPshVR,AVEL,1
VDn,yi-28,4
VDn,mus,26
VDn,AVAR,4
VDn,yi-19,3
VDn,VA/Bnn,1
VDn,unk-ventral-606,1
VDn,AVAR,4
VDn,PVM,3
RMDDR,mus-D,4
RMDDR,mus-DL,15
RMDDR,SMBDR,3
RMDDR,RMEV,1
RMDDR,lefty,7
RMDDR,RMDVL,32
RMDDR,mus-L,21
RMER,RMER,2
RMER,mus-VL,8
RMER,IL1L,3
RMER,mus-NRL,10
RMER,mus-L,24
RMEV,mus-D,37
RMEV,RIBL,3
RMEV,RIBL,3
RMEL,RMHL,3
RMEL,mus-VR,41
RMEL,IL1R,1
RMEL,RMEL,1
RMEL,mus-V,3
RMEL,RMHL,3
AIAL,NR32,6
AIAL,AINR,5
AIAL,AWCL,23
AIAL,AIYL,6
AIAL,RIFL,25
AIAL,AIBL,42
AIAL,AIAL,24
RMDDL,mus-VR,15
RMDDL,mus-DR,17
RMDDL,RMDVR,33
ABLfrag,ABLfrag,3
ABLfrag,RMDL,3
RMED,GLRVR,1
RMED,SMDDL,3
RMED,RMDVL,3
RMED,SMDDR,15
RMED,mus-V,54
RMED,RIBL,3
AINR,AFDL,17
AINR,NR31,5
AINR,AVEL,1
AINR,CEPshVL,3
AINR,RIGL,3
AINR,AIAL,8
AINR,NR,7
AINR,CEPVL,3
AINR,RIAL,24
AINR,AIBL,9
AINR,AIYL,3
SMBVL,Excretory Gland,3
SMBVL,PLNL,4
SMBVL,MCML,3
SMBVL,SIBVL,3
SMBVL,RMGL,1
SMBVL,AVJL,1
SMBVL,RMDVR,18
SMBVL,VGfrag,1
SMBVL,contin10625,3
SMBVL,SAADL,26
SMBVL,mus-V,38
SMBVL,RIVR,2
SMBVL,mus-VL,10
SMBVL,vc-2928,2
contin10530,VC36(RVGCB4),1
AVL,PVT,2
AVL,RIAL,1
AVL,RIS,1
AVL,RMEV,10
AVM,RIBR,5
AVM,AVBL,3
AVM,PVN_2,4
AVM,PVCL,2
AVM,VGRPVCL,5
AVM,yi-38,3
AVM,AVKL,5
AVM,AVJL,6
AVM,vc-975,3
AVM,EF3,5
AVM,RIMR,3
AVM,MCMR,1
AVM,BDUR,2
AVM,AVDR,2
AVM,vc-right-31,5
AVM,VGfrag,5
AVM,RIFR,1
AVM,AVBR,23
AVM,e,1
AVM,PVCR,7
AVM,SMBVL,3
AVM,contin10626,6
AVM,PVN_,6
VC36(RVGCB4),MCML,3
VC36(RVGCB4),PVQL,1
VC36(RVGCB4),AVFL,6
VC36(RVGCB4),VC575,5
VC36(RVGCB4),AVFR,2
VC36(RVGCB4),mus-D,1
VC36(RVGCB4),vc-963,6
VC36(RVGCB4),RIFL,3
VC36(RVGCB4),RVGCB16VDn,2
VC36(RVGCB4),AVBL,16
VC36(RVGCB4),mus-VL,3
DA1,contin1015,4
DA1,vc-1030,2
DA1,contin1029,1
DA1,RVGCB40,3
DA1,RVGCB7,4
DA1,vc-992,4
DA1,vc-979,2
DA1,RVGCB16VDn,4
DA1,null,4
contin10788,UNK,1
contin10788,ABL-10,1
contin10494,mus-D,2
SMBDR,CEPDL,17
SMBDR,RMDDR,10
SMBDR,IL1DL,7
SMBDR,mus-DL,73
SMBDR,SMBDR,3
SMBDR,SAAVL,6
SMBDR,NRLfrag,5
SMBDR,SMBVR,3
SMBDR,CEMDL,5
SMBDR,NRfrag,45
SMBDR,OLQDL,7
merv,PVC_,1
NRLfrag,AVKR,2
NRLfrag,ABLP-20,1
NRLfrag,URXL,3
NRLfrag,AVEL,31
NRLfrag,AFDL,1
NRLfrag,RMDR,2
NRLfrag,RMGL,4
NRLfrag,NRLfraq,1
NRLfrag,IL2L,1
NRLfrag,AVBL,10
NRLfrag,DVC,2
NRLfrag,RICR,1
NRLfrag,AVJL,7
NRLfrag,RMHR,2
NRLfrag,NRLfrag,6
NRLfrag,NRleft,3
NRLfrag,NRRfrag,1
NRLfrag,AIYL,6
SMBDL,AIBR,2
SMBDL,mus-D,13
SMBDL,ALNR,1
SMBDL,SAAVR,7
SMBDL,mus-DR,77
SMBDL,RIML,2
SMBDL,RIML,2
SMBDL,RMED,57
SMBDL,NRfrag,2
SMBDL,CEPDR,2
NRVfrag,CEPVL,3
vc-6097,RVGCB10,18
vc-6097,contin6779,6
vc-6097,AQR,7
vc-6097,RIGR,3
vc-6097,ADER,2
vc-6097,AVAL,3
vc-6097,SAAVL,1
ABR-12,ABR-11,1
ABR-12,ABR-10,1
IL2DL,IL1DL,1
IL2DL,RICR,4
IL2DL,URADL,11
IL2DL,contin10006,5
IL2DL,RIPL,8
VC39,RIBL,1
VC39,NRL,1
NRVL,DVC,3
NRVL,RIGL,3
ABL-6,ABL-7,1
IL2DR,OLQDR,3
IL2DR,RMER,4
IL2DR,URYDR,1
IL2DR,RMEV,1
IL2DR,RIPR,10
IL2DR,RICL,3
IL2DR,RICL,3
IL2DR,URADR,7
IL2DR,RIH,4
IL2DR,NRDfrag,2
IL2DR,RMEL,3
IL2DR,RMED,3
IL2DR,IL1DR,3
NR,AVER,3
NR,RMGR,1
NR,RMDVR,1
NR,RIGR,5
ABR-11,ABR-3,1
NRL500,AFDL,2
NRL500,NR,1
NRL500,AINR,6
NRL500,CEPshVL,4
NRDfrag,AFDL,10
NRDfrag,AVEL,3
NRDfrag,AWCL,1
NRDfrag,AUAL,1
NRDfrag,RMDVR,10
NRDfrag,SMDDL,6
NRDfrag,RIGR,1
NRDfrag,RMDDL,10
NRDfrag,SMDDR,1
NRDfrag,NRDfrag,1
NRDfrag,AVER,3
NRLfrag\,RIML,6
NRLfrag\,RIML,6
NRLfrag\,NR,5
NRLfrag\,AVBR,1
unk111,RIPR,4
unk111,AVBR,4
SDQR,FLPR,2
SDQR,SDQR,10
SDQR,ALMR,12
SDQR,VGfrag6,2
SDQR,DVA,23
SDQR,AVBL,33
SDQR,FLPL,13
SDQR,DVA,3
SDQR,RIVR,9
SDQR,PVCL,2
SDQR,FLPL,10
SDQR,AVBR,19
SDQR,###,10
SDQR,PVR,16
NRfrnow,RIGL,16
NRfrnow,AUAL,1
NRfrnow,RIAL,6
AVFR,MCMR,30
AVFR,MCML,1
AVFR,AVFL,4
AVFR,EF3,4
AVFR,contin10626,4
AVFR,VGfrag,4
AVFR,OLQVR,7
AVFR,RIFL,1
AVFR,mus-VL,3
AVFR,RIFR,28
AVFR,AVBR,23
AVFR,EF1,6
NBRP-2,ABR-6,2
NBRP-2,UNK,1
NBRP-2,ABR-4,1
NBRP-2,MCMR,1
NBRP-2,ABR-11,4
AIBR,FLPR,5
AIBR,RIMR,2
AIBR,DVA,1
AIBR,SMDDL,10
AIBR,RMFL,2
AIBR,AVKR,4
AIBR,RIML,33
AIBR,ASGR,4
AIBR,SAADL,3
AIBR,DVA,1
AIBR,RIVR,6
AIBR,AVER,4
AIBR,RIML,33
AIBR,AIMR,4
AIBR,AVBR,18
AIBR,AIAR,4
RVGcom3,vc-left-7support,1
RVGcom3,RMGL,3
RVGcom7,vc-962,1
RVGcom7,AVDR,8
RVGcom7,AVBR,7
RVGcom7,AVBL,10
ADFR,RIPR,1
ADFR,ABR-6,2
AIYL,AWBL,4
AIYL,AFDL,3
AIYL,RIAR,2
AIYL,AIZL,146
AIYL,AUAL,4
AIYL,CEMVL,2
AIYL,vc-2753,3
AIYL,RIR,1
AIYL,RIBL,132
AIYL,NRLfrag_AIA?,9
AIYL,AIZR,2
AIYL,RIAL,159
DCC10,mus-DR,2
DCC10,DCM,2
DCC10,mus-dr,2
PVCL,SIAVL,2
PVCL,PVCR,2
PVCL,AVDR,12
PVCL,AVBL,16
PVCL,AVAL,2
PVCL,light,5
PVCL,RID,5
PVCL,NR21,2
PVCL,AVBR,6
NRDRfrag,AVER,2
NRDRfrag,AVKR,6
NRDRfrag,RMDR,4
VGRPVCL,contin2922,2
VGRPVCL,PVCR,3
VGRPVCL,RIS,5
VGRPVCL,AVBL,4
VGRPVCL,AVM,2
VGRPVCL,RIFR,2
VGRPVCL,AVBR,5
NR31,AWCL,1
NR31,AINR,2
NR31,AIYL,1
NR32,light,2
NR32,NRffffrag,2
NR32,NRfraggg,2
NR32,AVBL,4
ASJL,NRDfrag,4
ASJL,PVQL,24
ASJL,URADL,2
ASJL,ASKL,12
ASJL,OLQDL,2
AWBR,ADFR,19
AWBR,RIAR,24
AWBR,RIBR,6
AWBR,AIZR,13
AWBR,NRRfrag,2
VC80,AVKR,14
VC80,NRVfrag9,4
VC80,RVGCB10,1
VC80,AVEL,4
VC80,VGfrag6,4
VC80,AQR,2
VC80,AVAR,1
VC80,DVC,3
VC80,SMBVR,5
VC80,NR126,5
CEMVL,AVDR,2
CEMVL,NRVRfrag,1
CEMVL,NRL,4
CEMVL,AVFL,5
CEMVL,CEMVL,3
CEMVL,RIBL,8
CEMVL,CEPshVL,2
CEMVL,AVBL,9
CEMVL,AWCL,3
CEMVL,AIAL,2
CEMVL,RID,2
CEMVL,CEPVL,6
CEMVL,RIAL,5
CEMVL,L,1
CEMVL,MCML,5
ASIR,ASKR,4
ASIR,AWCR,1
ASIR,VGfrag2,1
ASIR,VGfrag3,1
ASIR,ASGR,2
ASIR,AFDR,7
ASIR,VGfragment,11
ASIR,AIAR,4
contin16,contin1,8
contin16,UNK,8
howie,mus,3
howie,VDn,3
SMDVL,GLRVR,6
SMDVL,RIAR,50
SMDVL,RMDDR,45
SMDVL,AVEL,23
SMDVL,mus-D,2
SMDVL,RMED,1
SMDVL,RIBR,8
SMDVL,RMEV,2
SMDVL,SMDVL,21
SMDVL,RMDVL,27
SMDVL,SMDDR,34
SMDVL,mus-V,36
SMDVL,CEPVR,4
SMDVL,IL1VR,6
SMDVL,RIAL,30
ABRP-2,RIMR,7
ABRP-2,AVAR,4
ABRP-2,AVAL,20
ABRP-2,RMGR,2
ABRP-2,AVER,2
ABRP-2,NRfrag,11
ABRP-2,OLLR,2
